Article ID;Title;Author;Publication year;Title secondary;URL;DOI;Abstract;Criteria for exclusion;;;;"Comment: Explicitly assesses&nbsp; climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; region ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment: Explicitly assesses at least one&nbsp; sector ?  (Population); ";;;;;;;;;;;;;;;;;;;;"Comment:  Modelling&nbsp; or&nbsp; scenario process&nbsp; are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz;Mathias Kirchner;Michael Klingler;Johannes Schmidt;Felix Nitsch;Andreas Eder;Katherine  Cano;Florian Scheiber;Tammam Suliman;Hermine Mitter;Elisabeth Gotschi;Valentin Zanon;Matthias Salomon;Isabelle Grabner;Marion Hacek;Judith Fischer;Julian Joseph;Antonia Knapp;Elisabeth Schauppenlehner-Kloyber;Karl  Steininger;Max Nutz
264;"NarSha - The Korean First Spaceborne Methane Monitoring Project for Achieving Net Zero
";"Kim, G.-N.; Park, J.-P.; Jeong, S.; Shin, J.; Hong, J.; Kim, N.; Lee, Y.-R.; Kim, T.; Lee, J.; Lee, S.; Snopek, P.; Badowski, M.; Zięba, M.; Jercaianu, A.";2025;"Proceedings of the International Astronautical Congress, IAC
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105032081125&doi=10.52202%2F083081-0045&partnerID=40&md5=427d8ee05db943c11347d7ae62ff12f8
";"10.52202/083081-0045
";"Methane (CH4) is a potent greenhouse gas, responsible for 30% of global warming since industrialization. Over a 20-year period, it has more than 80 times the heat-trapping capacity of carbon dioxide (CO2). Despite its significant impact, methane emissions are often underestimated, with sectors like oil and gas underreporting by up to 80%. In 2020, South Korea emitted 27 million tons of methane, accounting for 4.1% of its total greenhouse gas emissions. Agriculture, waste, and energy sectors contributed 97% of these emissions, with fugitive emissions from energy operations alone making up 71%. Limited research suggests additional underreporting. As the world’s 9th largest emitter in 2021, South Korea must cut methane emissions by 40% from 2018 levels to reach carbon neutrality by 2050. Achieving this goal requires accurate measurement and tracking of methane emission sources. While global methane monitoring technology has advanced, satellite data often lack coverage in key areas, including equatorial regions, offshore zones, and northern oil and gas sites. To fill this gap, the NarSha project was started in 2023, South Korea’s first spaceborne methane monitoring initiative. The project will deploy a constellation of microsatellites to enhance methane transparency and expand monitoring beyond ground-based systems. By reconciling discrepancies between satellite and ground data, the satellites will help detect methane leaks, venting, and flaring. Led by Nara Space, Seoul National University’s Climate Laboratory, the Korea Astronomy and Space Science Institute, and international partners like Scanway Space, the project aims to launch the Korean Methane Monitoring Microsatellite (K3M) by 2026. The K3M will detect emissions as small as 100 kg/h and deliver methane concentration data within four weeks. It will feature a hyperspectral imager operating in the short-wave infrared (SWIR) range, with a spectral resolution finer than 1 nm and a ground sampling distance of less than 50 meters. The diffraction grating-based hyperspectral imager achieves a high signal-to-noise ratio exceeding 150, enabling the detection of weak methane signals. The 16U CubeSat platform will integrate precise pointing systems, AI-driven data processing, and a high-speed X-band transmitter. A full 12-satellite constellation is planned by 2028, achieving 90% of system completeness within four weeks. This study highlights system design and recent advancements in the development of the first K3M, including its engineering and qualification models. This system will significantly enhance methane monitoring capabilities, improve emission estimates, and support global efforts to mitigate climate change. Copyright ©2024 by the International Astronautical Federation (IAF). All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;Project objective is to monitor emissions, reducing emissions is only indirectly achieved as project data can support mitigation efforts.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Focus on methane emissions which is linked to agricultural sector. Other GHG emissions from agriculture not considered.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
266;"An intelligent landscaping framework for net-zero energy smart cities: A green infrastructure approach
";"Jiao, Y.; Kang, H.; Sun, H.";2024;"Sustainable Energy Technologies and Assessments
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185845519&doi=10.1016%2Fj.seta.2024.103665&partnerID=40&md5=f33626eca354fc56ede694bc0c41021c
";"10.1016/j.seta.2024.103665
";"Utility providers acknowledge the significance and indispensability of demand response (DR) initiatives in curtailing the escalating generation expenses linked to growing energy needs. The advent of sophisticated data and communication arrangements has paved the way for cost-centric DR programs as a practical means to regulate loads in intelligent landscaping design of microgrids (MGs). Individuals in residential settings are increasingly adopting unpredictable RESs, such as photovoltaic (PV). This research investigates a unified landscaping framework aimed at addressing issues related to the scheduling or commitment of loads in households involving RESs, regardless of the tariff structure applied. Decision-making problems influenced by uncertainty find effective resolution through reinforcement learning (RL). The study puts forth an RL-powered resolution to load commitment challenges in intelligent MGs. An inventive facet of the research lies in the formulation of a comprehensive framework based on unscented transform (UT) that factors in user contentment, unpredictable renewable energy, and tariff considerations. Through simulated assessments, the proposed framework is evaluated for its efficacy and adaptability. An in-depth analysis of the methods’ performance is presented using a residential user scenario featuring devices with and without schedulable characteristics, in addition to a PV resource. © 2024
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Probably yes, but unclear from abstract alone.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
267;"The Impact of Industrial Agglomeration on Carbon Emissions from Forestry Product Exports: Evidence from China
";"Su, H.; Gao, S.; Zhang, H.; Xing, F.; Hou, F.";2026;"Forests
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028794913&doi=10.3390%2Ff17010060&partnerID=40&md5=532ed104a38cf14eea2d64e93438ad34
";"10.3390/f17010060
";"This study examines the relationship between industrial agglomeration and carbon emissions in China’s forestry industry, using panel data from 30 provincial-level regions between 2009 and 2020. The industrial agglomeration level is measured by the Location Quotient (LQ), which is calculated based on regional employment shares to reflect the concentration of the forest products industry. This study finds that LQ exhibits a multiplicative effect—meaning that its influence on carbon emissions amplifies through interactive mechanisms of scale, technology diffusion, and spatial concentration. Four carbon indicators—carbon emissions from export products, carbon emission intensity, energy intensity, and energy structure cleanliness—are analyzed. Employing a threshold regression model, the study identifies nonlinear effects of agglomeration on carbon outcomes. The estimated threshold value (LQ = 0.7122) divides the process into three stages: (1) an embryonic stage (LQ < 0.7122) with rising emissions and declining efficiency; (2) a growth stage (around LQ ≈ 0.7122) with simultaneous increases in emissions and efficiency; and (3) a mature stage (LQ > 0.7122) where emissions decline as efficiency improves. These results reveal that the environmental effects of forestry industrial agglomeration evolve nonlinearly across development stages. © 2025 by the authors.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;i don't think this study presents a pathway toward or system configuration for climate neutrality, as climate neutrality (or another equivalent term) is not mentioned;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
272;"G20 roadmap for carbon neutrality: The role of Paris agreement, artificial intelligence, and energy transition in changing geopolitical landscape
";"Salman, M.; Wang, G.; Qin, L.; He, X.";2024;"Journal of Environmental Management
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200321864&doi=10.1016%2Fj.jenvman.2024.122080&partnerID=40&md5=cbe713fdc2e27831b774e61681884009
";"10.1016/j.jenvman.2024.122080
";"The rapid advancement of artificial intelligence (AI) in the 21st century is driving profound societal changes and playing a crucial role in optimizing energy systems to achieve carbon neutrality. Most G20 nations have developed national AI strategies and are advancing AI applications in energy, manufacturing, and agriculture sectors to meet this goal. However, disparities exist among these nations, creating an “AI divide” that needs to be addressed for regulatory consistency and fair distribution of AI benefits. Here, we look at the linear effects of AI and the Paris Agreement (AI), as well as their potential interaction on carbon neutrality. We also investigate whether geopolitical risk (GPR) can hinder or enhance efforts to attain carbon neutrality through energy transition (ET). To measure carbon neutrality of G20 countries, we employed a robust parametric Malmquist index combined with the fixed-effect panel stochastic frontier model to account for heterogeneity. Results indicate that from 1990 to 2022, carbon neutrality has improved primarily due to technological advancements. Developed G20 countries led in technological progress, while developing countries showed modest gains in carbon efficiency. Using the Driscoll-Kraay robust standard error method, we found that AI has a positive but insignificant linear effect on carbon neutrality. However, the interaction between PA and AI was positive and statistically significant, suggesting that PA augments AI's potential in accelerating carbon neutrality. Energy transition accelerates carbon neutrality in both developed and developing G20 countries. However, the role of energy transition in achieving carbon neutrality becomes negative when the interaction term between energy transition and geopolitical risk (ET × GRP) is incorporated. Regarding control variables, green innovation positively impacts carbon neutrality, whereas financial development has an insignificant effect. Industrial structure and foreign direct investment both negatively affect carbon neutrality, thereby supporting the pollution haven hypothesis. It is recommended that strategies to bridge the “AI divide” and uphold geopolitical stability are crucial to achieve carbon neutrality. © 2024 Elsevier Ltd
";"Explicitly assesses  climate neutrality target ?  (Population); ";"Explicitly assesses at least one  region ?  (Population); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
273;"Mutual reinforcement of land-based carbon dioxide removal and international emissions trading in deep decarbonization scenarios
";"Morris, J.; Gurgel, A.; Mignone, B.K.; Kheshgi, H.; Paltsev, S.";2024;"Nature Communications 
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201671968&doi=10.1038%2Fs41467-024-49502-8&partnerID=40&md5=25ff41cad81f59c6709f4635b04c3e03
";"10.1038/s41467-024-49502-8
";"Carbon dioxide removal (CDR) technologies and international emissions trading are both widely represented in climate change mitigation scenarios, but the interplay among them has not been closely examined. By systematically varying key policy and technology assumptions in a global energy-economic model, we find that CDR and international emissions trading are mutually reinforcing in deep decarbonization scenarios. This occurs because CDR potential is not evenly distributed geographically, allowing trade to unlock this potential, and because trading in a net-zero emissions world requires negative emissions, allowing CDR to enable trade. Since carbon prices change in the opposite direction as the quantity of permits traded and CDR deployed, we find that the total amount spent on emissions trading and the revenue received by CDR producers do not vary strongly with constraints on emissions trading or CDR. However, spending is more efficient and GDP is higher when both CDR and trading are available. © ExxonMobil Technology and Engineering Co., and Jennifer Morris, Angelo Gurgel, Haroon Kheshgi, Sergey Paltsev 2024.
";;"Explicitly assesses at least one  region ?  (Population); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no region specified, use of global energy-economic model mentioned;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;use of global energy-economic model mentioned;;;;;;;
277;"Review of rooftop solar photovoltaic electrical potential estimation: Approaches and models
";"Li, N.; Zhao, F.; Chen, L.";2023;"Shengtai Xuebao
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168668301&doi=10.5846%2Fstxb202205041230&partnerID=40&md5=635fb52f9e93a419e9c8b0987504148e
";"10.5846/stxb202205041230
";"Urban rooftops, one kind of unused land resource, have become the optimal room for solar photovoltaic deployment. Rooftop solar photovoltaic would be the main source of decarbonizing electricity supply and will play a leading role in the realization of future net-zero carbon cities. An accurate estimation of rooftop solar photovoltaic electrical potential contributes to scientific programming and reasonable arrangement of distributed photovoltaic, land-use efficiency improvement, and ecosystem disturbance reduction. This study aims to comprehensively review rooftop solar photovoltaic potential influencing factors, estimation approaches, and models. The advantages and disadvantages of each approach were discussed, and key directions for future research were summarized. The results show that the rooftop solar photovoltaic electrical potential estimation based on rules of thumb has changed into quantitative and spatial analysis. The adoption of an optimal approach for estimation should trade-off between the assessment scale, accuracy and cost. Among the three current approaches, the sample methodology has lower computational cost and data cost, but uncertainties and less accuracy are the main problems. The complete census methodology has higher evaluation accuracy but is limited by high data acquisition and computing costs. The machine learning method is more advantageous than other approaches for large-scale electrical potential estimation due to its ability in big data mining and algorithm performance improvement. However, there are several problems in the research field, including the gap in accurate large-scale assessment, the uncertainties of outcomes and processes, and the lack of specificity. Three aspects should be highly valued in future studies:1) establish a high-precision simplified model suitable for different regions and complete the technical potential assessment model; 2) figure out the influencing factors of rooftop solar photovoltaic electrical potential, and provide a theoretical basis for the improvement of the representative building classification system and the selection of key feature values; 3) incorporate the impacts of photovoltaic installation scenarios, rural roof quality, urban public building roof ownership and energy demand on building rooftop photovoltaic power potential into the assessment framework. © 2023 Science Press. All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";"Explicitly assesses at least one  region ?  (Population); ";;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;review;;;;;;;
278;"The Concept of Implementing Net Zero Carbon Emission with a Cluster Approach. Case Study: Central Java Province Projection to 2030
";"Amru, K.; Mawardi, M.I.; Aryantie, M.H.; Anjani, R.; Oktivia, R.; Ihsan, I.M.; Sudinda, T.W.; Winanti, W.S.; Sachoemar, S.I.; Riyadi, A.; Prayogo, T.; Widodo, L.; Adhi, R.P.; Djajadihardja, Y.S.";2025;"Polish Journal of Environmental Studies
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010967068&doi=10.15244%2Fpjoes%2F190782&partnerID=40&md5=162b2b695d52390cb18a3a8e02931876
";"10.15244/pjoes/190782
";"Indonesia targets the net zero emission (NZE) achievement in 2045 through the forest and other land uses (FOLU) approach. In the NZE target evaluation, it is necessary to compare the carbon emissions and sequestration at the regional level. This study aims to evaluate the NZE achievement in Central Java for further clustering according to the results. Carbon sequestration data is obtained from the land use of Rupa Bumi Indonesia (RBI), while carbon emission data is obtained through an individual carbon footprint approach. In 2022, Central Java achieved the NZE, with a difference between carbon sequestration and emissions of 9,025,367.00 tons of CO2 eq. However, there are almost half, or 15 districts/cities (42.86%), that have not achieved NZE, namely Semarang City, Klaten, Demak, Sukoharjo, Kudus, Tegal, Surakarta, Sragen, Pekalongan City, Karanganyar, Tegal City, Salatiga, Magelang, Magelang City, and Pati. It consists of at least 3 categories of regions, namely, 1) Districts/cities that have reached NZE; 2) Districts/cities that have not reached NZE but are still able to be supported by surrounding districts/cities; 3) Districts/cities that have not reached NZE and cannot be supported by surroundings. There are efforts that are still needed to achieve NZE. Achieving NZE can be done by planting vegetation and reducing carbon emissions, especially from the energy, transport sectors, and waste, considering the availability of the area and its sequestration capability in surrounding districts/ cities. © 2025, HARD Publishing Company. All rights reserved.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;assessment of progress toward net zero emission in 2022, but no pathway to/system configuration for net zero provided;;;;;"as i understood, the study serves as assessment of progress towards climate neutrality? ""aims to evaluate the NZE achievement in Central Java""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;"Research on Carbon Peak and Carbon Neutrality Technological Pathways in the Chinese Papermaking Industry
";"Zhou, Z.; Wei, F.";2023;"Paper and Biomaterials
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183019124&doi=10.26599%2FPBM.2023.9260027&partnerID=40&md5=8290b4b16d490479bf59a7dad907f9c5
";"10.26599/PBM.2023.9260027
";"Against the backdrop of the dual carbon goals, the papermaking industry in China faces significant pressure to reduce emissions and lower carbon intensity. Based on historical data of energy consumption in the pulp and paper industry in China from 2000 to 2020, this study analyzed the current status of paper production and energy consumption in China. Two methods were employed to predict the growth trend of paper production in China, and three carbon dioxide emission accounting methods were compared. The study used an accounting method based on the industry’s overall energy consumption and predicted the carbon dioxide (CO2) emissions of the Chinese papermaking industry from 2021 to 2060 under three scenarios. The study identified the timing for achieving carbon peak and proposed the measures for carbon neutrality. The results indicated that: (1) the CO2 emissions of the Chinese papermaking industry in 2020 were 111.98 million tons. (2) Under low-demand, high-demand, and baseline scenarios, the papermaking industry is expected to achieve carbon peak during the “14th Five-Year Plan” period. (3) In 2060, under the three scenarios, CO2 emissions from the papermaking industry will decrease by 11%-31% compared to the baseline year. However, there will still be emissions of 72-93 million tons, requiring reductions in fossil energy consumption at the source, increasing forestry carbon sequestration and utilization of Carbon Capture, Utilization and Storage (CCUS) technology, and taking measures such as carbon trading to achieve carbon neutrality. © 2023 Published by Paper and Biomaterials Editorial Board.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;all scenarios result in emissions in the paper industry in 2060, the requirement for reductions elsewhere is mentioned but does not seem to have been assessed in detail here;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;(papermaking) industry;;;;;;;;;;;;;;;;;;;;;;
281;"Carbon neutrality in high-altitude agricultural systems: Examples and insights from the Qinghai–Tibet Plateau
";"Mu, Z.; Yang, S.; Deng, K.; Nawaz, M.Z.; Zahoor, M.; Wang, J.; Zhao, L.";2026;"Green Technologies and Sustainability
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105029897670&doi=10.1016%2Fj.grets.2026.100350&partnerID=40&md5=7c3ee91dfff2c0f66962b940279154cf
";"10.1016/j.grets.2026.100350
";"The Qinghai–Tibet Plateau, often referred to as the “Third Pole” and the “Asian Water Tower”, plays a pivotal role in global climate regulation due to its exceptional carbon sequestration capacity. Recent evidence indicates that terrestrial carbon sinks across the Plateau offset moat regional anthropocentric emissions (focused on CO2, CH4, N2O from local energy, livestock, and natural ecosystems), supporting the region’s progress toward a net-zero balance of direct GHG emissions—one of the earliest such trends observed in China. This paper explores the transition of the Plateau’s agricultural sector toward low-carbon development, emphasizing integrated approaches such as renewable energy adoption, circular agricultural models, grassland restoration, and emerging carbon market mechanisms. These strategies collectively enhance ecological resilience while reducing greenhouse gas emissions. Nonetheless, the transition faces persistent challenges, including infrastructural deficiencies, technical limitations, and socioeconomic disparities that constrain large-scale implementation. Addressing these barriers requires targeted policy support, sustained technological innovation, and strengthened cross-regional cooperation. The Plateau’s experience demonstrates the potential for aligning ecological conservation with sustainable agricultural development in fragile high-altitude ecosystems. Moreover, it provides a replicable model for other regions seeking to achieve carbon neutrality under similar environmental constraints. By linking local adaptation with broader global mitigation goals, the Qinghai–Tibet Plateau highlights the strategic importance of integrated low-carbon pathways in securing both ecological security and rural livelihoods. © 2026 The Authors.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;" Modelling  or  scenario process  are part of method?  (Outcome); ";;;;;;;;;;;;;low-carbon development as goal: ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;exploration of approaches toward low carbon in the agricultural sector, presumably literature search (?);;;;;structured narrative review to synthesize research on low-carbon agricultural transitions;;
283;"Low-carbon optimal scheduling integrating precision plant carbon sequestration supplementation with energy system synergy in rural full-chain carbon cycles
";"Gao, L.; Wang, C.; Wen, P.; Shao, C.; Geng, H.; Wang, Z.";2025;"Journal of Cleaner Production
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017785127&doi=10.1016%2Fj.jclepro.2025.146754&partnerID=40&md5=0207b284e490d1c995ace29647c05e03
";"10.1016/j.jclepro.2025.146754
";"Promoting deep decarbonization of energy systems is crucial for achieving China's carbon peaking and carbon neutrality goals. Plant carbon sequestration, as a key carbon sink pathway, has not yet been incorporated as a schedulable resource into existing energy optimization systems. To address this limitation, this study proposes a low-carbon optimal scheduling method that integrates precise plant carbon sequestration replenishment with energy systems. First, a five-dimensional synergistic rural energy system architecture encompassing source-grid-load-storage-carbon is established to achieve flexible resource scheduling. Second, a coupling model integrating carbon capture system, power-to-gas, and plant carbon sequestration is developed to facilitate coordinated regulation of carbon sources and sinks, establishing a full-chain carbon cycle. Finally, a bi-level collaborative optimization scheduling method is proposed to simultaneously optimize carbon flow allocation and energy dispatch. Simulations conducted on a rural energy system in Hebei Province, China, demonstrate that the proposed coupling model reduces operating costs by 12.8 %, increases the carbon-energy utilization efficiency to 20.3 %, and lowers the carbon emission intensity by 7.41 %, compared to the baseline scenario. The implementation of the bi-level optimization method further reduces the total operating cost by 13.4 % and decreases the reliance on externally procured carbon sources by 71.1 %, thereby simultaneously minimizing system operating costs and maximizing carbon trading benefits. This study provides a replicable technical solution for the low-carbon transition of rural energy systems. Future research should consider the impact of seasonal variations on the model and enhance the model's adaptability to various crops and greenhouse structures. © 2025 The Authors
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;pathway toward low-carbon not climate neutrality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
284;"Bioenergy for Net Zero Transition: Assessing Biomass Resources in Indonesia
";"Wulandari, D.; Welfle, A.J.; Gallego-Schmid, A.; Lea-Langton, A.R.";2025;"Procedia CIRP
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011585215&doi=10.1016%2Fj.procir.2025.01.094&partnerID=40&md5=a70f8a7601125e7c6b05963f5130d37a
";"10.1016/j.procir.2025.01.094
";"Indonesia's journey towards achieving net zero emissions by 2060 requires a thorough exploration of renewable energy resources, with biomass playing a crucial role. Using Biomass Resource Modelling (BRM) focused on Indonesia, this research assesses its potential for bioenergy production and emission reductions. By analysing various biomass sources, this study estimated their energy potential and contribution of these resources to the national energy mix. The BRM results indicate that Indonesia's biomass resources, including agricultural residues, energy crops, and waste, offer substantial potential, could reach up to 312 Mt by 2050 contributing approximately 24% of the energy demand. Significant growth is anticipated through the increased use of co-firing in coal plants and biodiesel blending. However, realising this potential requires overcoming challenges related to biomass availability, infrastructure, and technological development. The study emphasises the importance of policies that encourage biomass diversification, particularly the use of waste-derived biomass from of agricultural, domestic, and plantation sectors. This waste-derived biomass not only addresses energy production needs but also provides a solution to Indonesia's growing waste management challenges. By implementing comprehensive policy frameworks and investing in bioenergy technologies, Indonesia can maximise its biomass potential and support its renewable energy and climate goals. The transition to net zero emissions in Indonesia is closely linked with the strategic use of bioenergy, with biomass resources offering viable pathways to achieve the Nationally Determined Contributions (NDC) target. This study provides a framework for policymakers, outlining pathways to effectively utilise biomass resources.  © 2025 The Authors.
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;"exploration of emission reductions, no pathway toward climate neutrality: ""assesses its potential for bioenergy production and emission reductions""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
286;"Ecohydrological insight: Solar farms facilitate carbon sink enhancement in drylands
";"Wu, C.; Liu, H.; Yu, Y.; Zhao, W.; Guo, L.; Liu, J.; Yetemen, O.";2023;"Journal of Environmental Management
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163460588&doi=10.1016%2Fj.jenvman.2023.118304&partnerID=40&md5=1e8f5d283c640034e428ad1b500bf2b1
";"10.1016/j.jenvman.2023.118304
";"Solar farms are critical to tackling climate change and achieving carbon neutrality. Besides producing renewable energy, a solar farm modifies microclimates and changes water distribution, consequently affecting local carbon sequestration capacity (CSC). Yet, how the CSC of an ecosystem responds to these changes after solar farm construction remains inadequately understood. Herein, the SOFAR model was adopted to reveal the effects of large-scale solar farms (LSFs) on CSC in arid northern China, with a series of numeric experiments along a climate gradient (with precipitation ranging from 70 to 500 mm yr−1). The results show that relative to pristine vegetation background, CSC was non-linearly increased by averages of 3.49–6.68%, 4.43–10.25%, 5.07–9.71% and 5.6% each year after the installation of LSFs in hyper-arid climates (with aridity index or AI = 0.04–0.05), arid climates (AI = 0.14–0.16), semi-arid climates (AI = 0.21–0.3) and semi-humid climates (AI = 0.55), respectively. The increase in available water for plants growing under the drip lines of photovoltaic panels (PVs) in LSFs is confirmed to be the overwhelming factor responsible for CSC enhancement. Although biases remain in the estimation of increased CSC in hyper- and semi-humid regions due to the high variability of climate (e.g., extreme drought events) and serious radiation reduction beneath PVs, it is certain that solar farms facilitate CSC without increasing external land use. These results will deepen our understanding of the feedback between solar farms and ambient environments and be meaningful for vegetation management in solar farms, especially in the context of climate change and carbon neutrality aims. © 2023 Elsevier Ltd
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;investigation of effects on carbon sequestration capacity by solar farms, no pathway toward climate neutrality;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
288;"Research on Innovation Management and Innovation Governance of Power Grid under Low-Carbon Transition Using Machine Learning
";"Luo, N.; Liu, J.; Zheng, F.; Chen, L.";2025;"Proceedings of 2025 2nd International Conference on Image Processing, Intelligent Control and Computer Engineering, IPICE 2025
";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-105026275694&doi=10.1145%2F3768184.3768233&partnerID=40&md5=84a9c8296d064a7dd5509c8d86517529
";"10.1145/3768184.3768233
";"The fundamental objective of creating a modern society is green development. China is actively working to build a clean, low-carbon, safe, and efficient energy system as part of its current efforts to strengthen energy production and consumption reform. This is not only changing the power industry's traditional development mode, but it also determines the future direction of power development policy. This paper investigates the implementation recommendations and response ideas of power grid enterprises based on the low-carbon transformation, and in-depth research of low-carbon power grid transformation. This paper also examines the planning model and application of power grids and their effects and connection to the development of low-carbon energy in a particular region. It assists in offering some helpful references to accelerate the development of power grids in the country. This paper proposes to use Random Forest (RF) a machine learning algorithm to determine carbon neutrality confidence and carbon pricing impact under low carbon transition. This paper also predicts contributing factors to effective technology. The predictive capability of the RF model is compared with Logistic Regression (LR) model using accuracy metrics. Results show that policy understanding is the top feature in predicting carbon neutrality confidence and carbon pricing impact on innovative management. Both RF and LR models achieved 93% accuracy in predicting top features for effective technology. In future works, ensemble machine-learning techniques could be used for power production and deployment. © 2025 Copyright held by the owner/author(s).
";"Explicitly assesses  climate neutrality target ?  (Population); ";;;;;;;;;;;;;;;;no pathway/system configuration for climate neutrality, from my understanding an investigation of factors influencing the development of attitudes during a low-carbon transition;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
